Hacia la libertad," Acción, Thriller",2022,2h 12m,4.36,https://ww1.cuevana3.ai/65516/emancipation-ver
Devotion. Una historia de héroes," Acción, Bélico Guerra, Drama",2022,2h 18m,4.26,https://ww1.cuevana3.ai/65526/devotion-ver
Avatar: El sentido del agua," Acción, Aventura, Fantasía",2022,3h 12m,4.23,https://ww1.cuevana3.ai/65555/avatar-the-way-of-water-ver
Los 4 Grandes," Acción, Comedia, Crimen",2022,2h 21m,4.5,https://ww1.cuevana3.ai/65651/the-big-four-ver
Secret Headquarters," Acción, Aventura, Comedia",2022,1h 29m,3.81,https://ww1.cuevana3.ai/61311/secret-headquarters-ver
Avatar," Acción, Aventura, Fantasía",2009,2h 41m,3.84,https://ww1.cuevana3.ai/65615/avatar-ver
Reyes contra Santa,"","","",3.62,https://ww1.cuevana3.ai/65580/reyes-contra-santa-ver
Poker Face," Acción, Crimen, Thriller",2022,1h 35m,3.88,https://ww1.cuevana3.ai/65570/poker-face-ver
Dragon Ball Super: Super Hero," Acción, Animación, Aventura",2022,1h 39m,4.18,https://ww1.cuevana3.ai/61578/doragon-boru-supa-supa-hiro-ver
Shadow Master, Acción,2022,1h 30m,3.36,https://ww1.cuevana3.ai/65451/shadow-master-ver
Noche de paz," Acción, Comedia, Crimen",2022,1h 41m,4.2,https://ww1.cuevana3.ai/65392/violent-night-ver
Detective Knight: Sin piedad," Acción, Thriller",2022,1h 45m,3.54,https://ww1.cuevana3.ai/65438/detective-knight-rogue-ver
The Roundup," Acción, Crimen",2022,1h 46m,4.58,https://ww1.cuevana3.ai/60439/the-roundup-ver
Lobos de guerra," Acción, Bélico Guerra, Thriller",2022,1h 27m,3.39,https://ww1.cuevana3.ai/65430/wolves-of-war-ver
Me llamo venganza," Acción, Crimen, Drama",2022,1h 30m,4.02,https://ww1.cuevana3.ai/65280/il-mio-nome-e-vendetta-ver
La batalla de Leningrado," Acción, Drama, Guerra",2019,1h 36m,4.01,https://ww1.cuevana3.ai/43042/spasti-leningrad-ver
La guerra del futuro," Acción, Aventura, Ciencia Ficción",2022,1h 41m,4.12,https://ww1.cuevana3.ai/65351/ming-yat-zin-gei-ver
Trol,"","","",4.08,https://ww1.cuevana3.ai/65314/troll-ver
Super… ¿quién?," Acción, Comedia",2022,1h 22m,4.43,https://ww1.cuevana3.ai/59083/super-heros-malgre-lui-ver
Memory," Acción, Thriller",2022,1h 54m,4.09,https://ww1.cuevana3.ai/57421/memory-ver
Confesiones de un asesino a sueldo," Acción, Crimen, Drama",2022,1h 44m,4.25,https://ww1.cuevana3.ai/65250/confessions-ver
Amenaza explosiva (Hard Hit)," Acción, Crime, Drama",2021,1h 30m,4.1,https://ww1.cuevana3.ai/65181/balsinjehan-ver
The System," Acción, Crimen",2022,1h 37m,3.75,https://ww1.cuevana3.ai/65172/the-system-ver
Declaración de emergencia," Acción, Drama, Thriller",2022,2h 20m,4.49,https://ww1.cuevana3.ai/62681/bisang-seoneon-ver
Sword Art Online Progressive: Aria de una Noche sin Estrellas," Acción, Animación, Aventura",2021,1h 37m,4.6,https://ww1.cuevana3.ai/60044/gekijoban-sword-art-online-progressive-hoshi-naki-yoru-no-aria-ver
Guardianes de la Galaxia: especial felices fiestas," Acción, Aventura, Comedia",2022,0h 44m,4.5,https://ww1.cuevana3.ai/65131/the-guardians-of-the-galaxy-holiday-special-ver
Plan de estudios," Acción, Crimen",2022,1h 41m,3.34,https://ww1.cuevana3.ai/65089/plan-lekcji-ver
Black Adam," Acción, Ciencia Ficción, Fantasía",2022,2h 4m,4.17,https://ww1.cuevana3.ai/63746/black-adam-ver
La Mujer Rey," Acción, Drama, Historia",2022,2h 15m,3.87,https://ww1.cuevana3.ai/63299/the-woman-king-ver
One Way," Acción, Thriller",2022,1h 36m,3.66,https://ww1.cuevana3.ai/62157/one-way-ver
Black Panther: Wakanda Forever," Acción, Aventura, Drama",2022,2h 42m,3.94,https://ww1.cuevana3.ai/64524/black-panther-wakanda-forever-ver
R.I.P.D. 2: Rise of the Damned," Acción, Comedia",2022,1h 42m,3.55,https://ww1.cuevana3.ai/64356/r-i-p-d-2-rise-of-the-damned-ver
Fuga de Prisión," Acción, Ciencia Ficción, Thriller",2022,1h 46m,3.17,https://ww1.cuevana3.ai/57441/corrective-measures-ver
East of the Mountains," Acción, Drama",2021,1h 33m,3.71,https://ww1.cuevana3.ai/51099/east-of-the-mountains-ver
Bala perdida 2," Acción, Crimen, Suspenso",2022,1h 38m,4.07,https://ww1.cuevana3.ai/64768/balle-perdue-2-ver
Raging Fire," Acción, Aventura, Crimen",2021,2h 6m,4.4,https://ww1.cuevana3.ai/51080/nou-fo-ver
Sanctioning Evil, Acción,2022,1h 50m,3.92,https://ww1.cuevana3.ai/64737/sanctioning-evil-ver
The Contractor," Acción, Thriller",2022,1h 43m,4.21,https://ww1.cuevana3.ai/55977/the-contractor-ver
Operation Seawolf," Acción, Aventura, Historia",2022,1h 26m,3.36,https://ww1.cuevana3.ai/64726/operation-seawolf-ver
Medieval," Acción, Drama, Historia",2022,2h 6m,4.24,https://ww1.cuevana3.ai/63650/medieval-ver
The Serpent," Acción, Aventura, Suspenso",2021,1h 30m,2.58,https://ww1.cuevana3.ai/64547/the-serpent-ver
Enola Holmes 2," Acción, Aventura, Crimen",2022,2h 10m,4.28,https://ww1.cuevana3.ai/64216/enola-holmes-2-ver
ONE PIECE FILM RED," Acción, Animation, Aventura",2022,1h 55m,4.26,https://ww1.cuevana3.ai/64510/one-piece-film-red-ver
Shin Ultraman," Acción, Aventura, Drama",2022,1h 52m,3.85,https://ww1.cuevana3.ai/63581/shin-ultraman-ver
Cloudy Mountain," Acción, Aventura, Drama",2021,1h 54m,4.26,https://ww1.cuevana3.ai/58602/feng-bao-ver
El gato con botas: El último deseo," Animación, Aventura, Comedia",2022,1h 44m,4.26,https://ww1.cuevana3.ai/65531/puss-in-boots-the-last-wish-ver
Dragon Ball Super: Super Hero," Acción, Animación, Aventura",2022,1h 39m,4.18,https://ww1.cuevana3.ai/61578/doragon-boru-supa-supa-hiro-ver
Noche en el museo: El retorno de Kahmunrah," Animación, Aventura, Comedia",2022,1h 17m,3.9,https://ww1.cuevana3.ai/65491/night-at-the-museum-kahmunrah-rises-again-ver
Un jefe en pañales: Especial de Navidad," Animación, Familia",2022,0h 47m,4.36,https://ww1.cuevana3.ai/65483/the-boss-baby-christmas-bonus-ver
Scrooge: Cuento de Navidad," Animación, Aventura, Comedia",2022,1h 37m,4.41,https://ww1.cuevana3.ai/65388/scrooge-a-christmas-carol-ver
El diario de Greg: Las reglas de Rodrick," Animación, Comedia, Drama",2022,1h 14m,4.22,https://ww1.cuevana3.ai/65367/diary-of-a-wimpy-kid-rodrick-rules-ver
La Tropa Acción salva la Navidad, Animación,2022,0h 28m,4.67,https://ww1.cuevana3.ai/65302/the-action-pack-saves-christmas-ver
"Lilo, mi amigo el cocodrilo"," Animación, Aventura, Comedia",2022,1h 46m,4.31,https://ww1.cuevana3.ai/63839/lyle-lyle-crocodile-ver
Sword Art Online Progressive: Aria de una Noche sin Estrellas," Acción, Animación, Aventura",2021,1h 37m,4.6,https://ww1.cuevana3.ai/60044/gekijoban-sword-art-online-progressive-hoshi-naki-yoru-no-aria-ver
Desencantada: Vuelve Giselle," Animación, Aventura, Comedia",2022,2h 1m,4.23,https://ww1.cuevana3.ai/64837/disenchanted-ver
Tom y Jerry en la Tierra de Nieve," Animación, Aventura, Comedia",2022,1h 16m,4.32,https://ww1.cuevana3.ai/64953/tom-y-jerry-en-la-tierra-de-nieve-ver
El Dragón de Papá," Animación, Aventura, Comedia",2022,1h 44m,4.28,https://ww1.cuevana3.ai/64805/my-fathers-dragon-ver
La peli del fútbol,"","","",3.95,https://ww1.cuevana3.ai/64721/the-soccer-football-movie-ver
Minions y sus amigos: Volumen 2," Animación, Aventura, Comedia",2022,0h 54m,4.25,https://ww1.cuevana3.ai/64692/minions-more-2-ver
Tadeo el explorador 3: La maldición de la momia," Animación, Aventura, Comedia",2022,1h 29m,4.67,https://ww1.cuevana3.ai/64607/tad-the-lost-explorer-and-the-emerald-tablet-ver
